date,CPI_SG,Food_Index_SG,median_income_per_household_member_SG,income_index_SG,Food_Index_US,CPI_US,median_income_per_household_member_US,income_index_US
2024-06-01,155.1937984496124,154.88372093023256,3615.0,292.4757281553398,188.01379310344828,180.56034482758622,33492.0,205.78556799237916
2024-05-01,155.34883720930233,154.88372093023256,3615.0,292.4757281553398,187.66954022988506,180.49942528735633,33492.0,205.78556799237916
2024-04-01,154.10852713178295,154.41860465116278,3615.0,292.4757281553398,187.41781609195405,180.2,33492.0,205.78556799237916
2024-03-01,154.57364341085272,154.57364341085272,3615.0,292.4757281553398,187.06379310344826,179.50114942528737,33492.0,205.78556799237916
2024-02-01,154.72868217054264,154.88372093023256,3615.0,292.4757281553398,186.89080459770116,178.348275862069,33492.0,205.78556799237916
2024-01-01,153.1782945736434,154.10852713178295,3615.0,292.4757281553398,186.65632183908045,177.25114942528734,33492.0,205.78556799237916
2023-12-01,153.7984496124031,152.4031007751938,3500.0,283.1715210355987,185.59367816091952,176.29080459770114,32115.53784860558,197.3281439614251
2023-11-01,153.1782945736434,152.24806201550388,3500.0,283.1715210355987,185.46149425287354,176.46609195402297,32115.53784860558,197.3281439614251
2023-10-01,153.48837209302326,151.7829457364341,3500.0,283.1715210355987,185.78275862068966,176.82241379310344,32115.53784860558,197.3281439614251
2023-09-01,153.1782945736434,151.47286821705427,3500.0,283.1715210355987,185.2005747126437,176.89022988505747,32115.53784860558,197.3281439614251
2023-08-01,152.4031007751938,151.1627906976744,3500.0,283.1715210355987,184.81494252873563,176.45172413793105,32115.53784860558,197.3281439614251
2023-07-01,151.0077519379845,151.0077519379845,3500.0,283.1715210355987,184.4942528735632,175.68448275862067,32115.53784860558,197.3281439614251
2023-06-01,151.31782945736433,150.69767441860466,3500.0,283.1715210355987,183.97701149425288,175.35,32115.53784860558,197.3281439614251
2023-05-01,150.69767441860466,150.69767441860466,3500.0,283.1715210355987,183.7994252873563,174.78563218390806,32115.53784860558,197.3281439614251
2023-04-01,150.2325581395349,150.07751937984494,3500.0,283.1715210355987,183.38218390804596,174.34655172413792,32115.53784860558,197.3281439614251
